Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2016-12-31,2017-01-01,PAYPAL *DIGIZONE,-2.17,Goods
Sale,2016-12-31,2017-01-01,SQ *COOL TEA BAR  WAVERLY,-8.72,Foods
Sale,2016-12-30,2017-01-01,TARGET        00003202,-29.61,Goods
Sale,2016-12-30,2017-01-01,99 RANCH #1769,-47.59,Groceries
Sale,2016-12-30,2017-01-01,A&amp;A GAS,-23.62,Auto
Sale,2016-12-30,2017-01-01,TARGET        00003202,-2.45,Goods
Sale,2016-12-30,2017-01-01,99 RANCH #1769,-10.08,Groceries
Sale,2016-12-30,2017-01-01,99 RANCH #1769,-2.28,Groceries
Sale,2016-12-29,2017-01-01,DAISO BA07 JPN TOWN UBOC,-18.0,Goods
Sale,2016-12-29,2016-12-30,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods
Sale,2016-12-29,2016-12-30,CCSF MTA IPS PRKNG METER,-7.75,Auto
Sale,2016-12-29,2016-12-30,NIJIYA MARKET #62,-8.57,Goods
Sale,2016-12-29,2016-12-30,PAYPAL *FINISH LINE,-106.17,Clothing
Sale,2016-12-28,2016-12-30,WALGREENS #6655,-3.75,Goods
Sale,2016-12-28,2016-12-30,COLUMBIA SPORTSWEAR 404,-53.14,Goods
Sale,2016-12-28,2016-12-30,TK NOODLE 7,-16.26,Foods
Return,2016-12-28,2016-12-29,MICROSOFT   *STORE,3.12,Goods
Sale,2016-12-27,2016-12-28,SABELLA  LA TORRE SEA,-30.45,Foods
Sale,2016-12-27,2016-12-28,NORDSTROM #0420,-97.67,Goods
Sale,2016-12-26,2016-12-27,A&amp;A GAS,-19.2,Auto
Sale,2016-12-26,2016-12-27,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods
Sale,2016-12-26,2016-12-27,GEICO  *AUTO,-49.17,Auto
Sale,2016-12-26,2016-12-27,CCSF MTA IPS PRKNG METER,-3.0,Auto
Sale,2016-12-26,2016-12-27,AMAZON MKTPLACE PMTS,-39.98,Goods
Sale,2016-12-25,2016-12-27,WALGREENS #6655,-6.53,Goods
Sale,2016-12-24,2016-12-26,WASHINGTON CAFE INC,-63.51,Foods
Sale,2016-12-24,2016-12-25,CCSF MTA IPS PRKNG METER,-0.25,Auto
Sale,2016-12-24,2016-12-25,CITY OF BERKELEY- IPS,-4.0,Auto
Sale,2016-12-24,2016-12-25,CCSF MTA IPS PRKNG METER,-6.5,Auto
Sale,2016-12-23,2016-12-25,WWW.NEWEGG.COM,-7.53,Goods
Sale,2016-12-23,2016-12-26,KUKJE SUPER MARKET,-16.35,Groceries
Sale,2016-12-23,2016-12-25,TMOBILE*AUTO PAY,-74.67,Phone
Sale,2016-12-23,2016-12-25,MICROSOFT   *STORE,-3.47,Goods
